ID,Price,High,Low,Price_change %,Volume,Volume_change %,Timestamp
SOL-USD,71.16,71.68,66.92,3.31010452961672,661181.75165351,26.6319437810509,2026-06-15 06:24:20
BTC-USD,65674.27,65882.25,63640.0,1.83453049999411,5254.0936046,35.05606474249145,2026-06-15 06:24:20
ETH-USD,1720.02,1731.54,1651.74,2.27864660759945,83111.75527242,78.86432668057925,2026-06-15 06:24:20
WLD-USD,0.5854,0.5885,0.4896,15.69169960474308,12201621.91,-13.43086229950912,2026-06-15 06:24:20
SOL-USD,71.15,71.68,66.92,3.23563551944283,661226.03867991,26.68741742354228,2026-06-15 06:25:13
BTC-USD,65660.74,65882.25,63640.0,1.81230370612146,5256.61540498,35.21882023077546,2026-06-15 06:25:13
ETH-USD,1719.74,1731.54,1651.74,2.28450096054909,83111.59894446,78.8685766885575,2026-06-15 06:25:13
WLD-USD,0.5854,0.5885,0.4896,15.64598972738048,12204413.28,-13.41761829996372,2026-06-15 06:25:13
